period,position,points
2010-2021,1,25
2010-2021,2,18
2010-2021,3,15
2010-2021,4,12
2010-2021,5,10
2010-2021,6,8
2010-2021,7,6
2010-2021,8,4
2010-2021,9,2
2010-2021,10,1
2003-2009,1,10
2003-2009,2,8
2003-2009,3,6
2003-2009,4,5
2003-2009,5,4
2003-2009,6,3
2003-2009,7,2
2003-2009,8,1
1991-2002,1,10
1991-2002,2,6
1991-2002,3,4
1991-2002,4,3
1991-2002,5,2
1991-2002,6,1
1961-1990,1,9
1961-1990,2,6
1961-1990,3,4
1961-1990,4,3
1961-1990,5,2
1961-1990,6,1
1950-1960,1,8
1950-1960,2,6
1950-1960,3,4
1950-1960,4,3
1950-1960,5,2
