season,position,Ferrari,McLaren,Williams,Red Bull,Mercedes,Renault,Team Lotus,Tyrrell,Sauber,Benetton,Racing Point,Ligier,Brabham,BRM,Maserati,Arrows,AlphaTauri,Jordan,March,Cooper-Climax,Toyota,Minardi,BAR,Alfa Romeo,Lotus-Climax,BMW Sauber,Lotus F1,Lotus-Ford,Kurtis Kraft,Surtees,Honda,Shadow,Jaguar,Cooper-Maserati,McLaren-Ford,Larrousse,Prost,Footwork,Cooper,Haas F1 Team,Brabham-Climax,Gordini,Brabham-Repco,Matra,Fittipaldi,Talbot-Lago,Dallara,Porsche,Lotus-BRM,Matra-Ford,Lola,Brawn,Vanwall,Alpine F1 Team,Stewart,Brabham-Ford,Ensign,Hesketh,Wolf,ATS,Toleman,Penske,Aston Martin,Brabham-BRM,Osella,Brabham-Alfa Romeo,Zakspeed,Iso Marlboro,Leyton House,AGS,March-Ford,HWM,Epperly,Cooper-BRM,BRP,Forti,Connaught,Kuzma,RAM,Watson,Shadow-Ford,Rial,Simca,Theodore,Spirit,Parnelli,Embassy Hill,Lesovsky,Simtek,Phillips,Onyx,ERA,McLaren-BRM,Eagle-Climax,Eagle-Weslake,Deidt,Martini,Veritas,Lancia,Stevens,Super Aguri,Pacific,Trojan,Moore,MF1,Lambo,Trevis,OSCA,Coloni,Frazer Nash,Fondmetal,Sherman,Scirocco,BRM-Ford,Cooper-Castellotti,De Tomaso,Alta,Nichels,Stebro,Tecno,Marussia,Cooper-Borgward,Scarab,Boro,Manor Marussia,McLaren-Alfa Romeo,Schroeder,Behra-Porsche,Meskowski,Lotus-Pratt &amp; Whitney,AFM,McLaren-Serenissima,LDS-Climax,Spyker
1950,25,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,18,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,15,1,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,12,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,10,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,8,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,6,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1950,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,25,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
