season,Ferrari,McLaren,Williams,Red Bull,Mercedes,Renault,Team Lotus,Tyrrell,Sauber,Benetton,Racing Point,Ligier,Brabham,BRM,Maserati,Arrows,AlphaTauri,Jordan,March,Cooper-Climax,Toyota,Minardi,BAR,Alfa Romeo,Lotus-Climax,BMW Sauber,Lotus F1,Lotus-Ford,Kurtis Kraft,Surtees,Honda,Shadow,Jaguar,Cooper-Maserati,McLaren-Ford,Larrousse,Prost,Footwork,Cooper,Haas F1 Team,Brabham-Climax,Gordini,Brabham-Repco,Matra,Fittipaldi,Talbot-Lago,Dallara,Porsche,Lotus-BRM,Matra-Ford,Lola,Brawn,Vanwall,Alpine F1 Team,Stewart,Brabham-Ford,Ensign,Hesketh,Wolf,ATS,Toleman,Penske,Aston Martin,Brabham-BRM,Osella,Brabham-Alfa Romeo,Zakspeed,Iso Marlboro,Leyton House,AGS,March-Ford,HWM,Epperly,Cooper-BRM,BRP,Forti,Connaught,Kuzma,RAM,Watson,Shadow-Ford,Rial,Simca,Theodore,Spirit,Parnelli,Embassy Hill,Lesovsky,Simtek,Phillips,Onyx,ERA,McLaren-BRM,Eagle-Climax,Eagle-Weslake,Deidt,Martini,Veritas,Lancia,Stevens,Super Aguri,Pacific,Trojan,Moore,MF1,Lambo,Trevis,OSCA,Coloni,Frazer Nash,Fondmetal,Sherman,Scirocco,BRM-Ford,Cooper-Castellotti,De Tomaso,Alta,Nichels,Stebro,Tecno,Marussia,Cooper-Borgward,Scarab,Boro,Manor Marussia,McLaren-Alfa Romeo,Schroeder,Behra-Porsche,Meskowski,Lotus-Pratt &amp; Whitney,AFM,McLaren-Serenissima,LDS-Climax,Spyker
1950,8,,,,,,,,,,,,,,15,,,,,,,,,15,,,,,6,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,4,,,,2,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
1951,22,,,,,,,,,,,,,2,2,,,,,,,,,21,,,,,6,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,1,,,,2,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,
1952,30,,,,,,,,,,,,,,7,,,,,,,,,,,,,,8,,,,,,,,,,9,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,3,1,,,,,3,,,,,1,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,
1953,36,,,,,,,,,,,,,,24,,,,,,,,,,,,,,11,,,,,,,,,,6,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,3,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,29,,,,13,,,,,,,,,,29,,,,,,,,,,,,,,9,,,,,,,,,,1,,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,22,,,,16,,,,,,,,,,31,,,,,,,,,,,,,,11,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,26,,,,,,,,,,,,,,41,,,,,,,,,,,,,,5,,,,,,,,,,,,,9,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,23,,,,,,,,,,,,,1,35,,,,,,,,,,,,,,5,,,,,,,,,,7,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,24,,,,,,8,,,,,,,10,24,,,,,,,,,,,,,,3,,,,,,,,,,23,,,,,,,,,1,,,,,11,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,20,,,,,,5,,,,,,,15,3,,,,,25,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1960,19,,,,,,21,,,,,,,9,,,,,,32,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,1,1,,,,,
1961,19,,,,,,,,,,,,,7,,,,,,21,,,,,16,,,,,,,,,3,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,13,,,,,,,,,,,,2,14,,,,,,17,,,,,25,,,,,,,,,,,,,,,,,,,,,,,13,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,9,,,,,,,,,,,,10,18,,,,,,18,,,,,18,,,,,,,,,,,,,,,,,,,,,,,7,12,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
1964,15,,,,,,,,,,,,,23,,,,,,11,,,,,17,,,,,,,,,,,,,,,,15,,,,,,,,7,,,,,,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,17,,,,,,,,,,,,,18,,,,,,9,,,,1,15,,,,,,5,,,,,,,,,,21,,,,,,,,5,,,,,,,1,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,9,,,,,,,,,,,,,12,,,,,,,,,,,7,,,,,,4,,,24,2,,,,,,3,,10,,,,,,10,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1967,14,,,,,,,,,,,,,15,,,,,,1,,,,,1,,,11,,,7,,,23,2,,,,,,5,,20,,,,,,3,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1968,12,1,,,,,,,,,,,,18,,,,,,,,,,,,,,19,,,8,,,1,16,,,,,,1,,9,7,,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,6,,,,,,,,,,,,,8,,,,,,,,,,,,,,29,,,,,,1,20,,,,,,,,2,,,,,,,21,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1970,15,,,,,,21,,,,,,13,12,,,,,30,,,,,,,,,,,4,,,,,15,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
1971,11,11,,,,,,15,,,,,9,19,,,,,,,,,,,,,,10,,12,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1972,15,20,,,,,11,14,,,,,13,13,,,,,19,,,,,,,,,,,9,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,11,24,,,,,17,25,,,,,13,17,,,,,12,,,,,,,,,,,11,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1974,17,31,,,,,12,20,,,,,19,9,,,,,10,,,,,,,,,,,3,,9,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,21,18,2,,,,10,18,,,,,16,1,,,,,9,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,2,,,,,,2,12,,,,6,,,,,,,,,,,,,,,,,,,8,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
