season,team,group,points,GroupPoints
1950,Ferrari,Ferrari,84,21029
1950,Alfa Romeo (Original),Sauber-Alfa,270,3364
1950,Maserati,Maserati,17,1133
1950,Gordini,Gordini,12,278
1951,Ferrari,Ferrari,307,21029
1951,Alfa Romeo (Original),Sauber-Alfa,294,3364
1951,BRM,BRM,16,2076
1951,Vanwall,Vanwall,14,406
1951,Gordini,Gordini,16,278
1951,Rosier,Rosier,39,121
1952,Ferrari,Ferrari,356,21029
1952,Maserati,Maserati,28,1133
1952,Gordini,Gordini,91,278
1952,Rosier,Rosier,1,121
1952,Connaught,Connaught,24,81
1953,Ferrari,Ferrari,433,21029
1953,Cooper,Cooper,14,1499
1953,Maserati,Maserati,244,1133
1953,Gordini,Gordini,67,278
1953,Rosier,Rosier,12,121
1953,Connaught,Connaught,8,81
1954,Ferrari,Ferrari,286,21029
1954,Mercedes-Benz,Mercedes,200,11967
1954,BRM,BRM,16,2076
1954,Maserati,Maserati,146,1133
1954,Vanwall,Vanwall,6,406
1954,Gordini,Gordini,39,278
1954,Rosier,Rosier,43,121
1954,Bob Estes,Bob Estes,6,41
1955,Ferrari,Ferrari,239,21029
1955,Mercedes-Benz,Mercedes,262,11967
1955,Maserati,Maserati,177,1133
1955,Vanwall,Vanwall,4,406
1955,Gordini,Gordini,17,278
1955,Rosier,Rosier,4,121
1956,Ferrari,Ferrari,358,21029
1956,BRM,BRM,15,2076
1956,Maserati,Maserati,272,1133
1956,Vanwall,Vanwall,14,406
1956,Gordini,Gordini,36,278
1956,Centro Sud,Centro Sud,16,173
1956,Rosier,Rosier,22,121
1956,Connaught,Connaught,37,81
1956,Bob Estes,Bob Estes,15,41
1957,Ferrari,Ferrari,240,21029
1957,Cooper,Cooper,36,1499
1957,Maserati,Maserati,249,1133
1957,Vanwall,Vanwall,152,406
1957,Centro Sud,Centro Sud,63,173
1957,Connaught,Connaught,12,81
1957,Bob Estes,Bob Estes,2,41
1958,Ferrari,Ferrari,309,21029
1958,Team Lotus,Team Lotus,44,5363
1958,BRM,BRM,105,2076
1958,Cooper,Cooper,129,1499
1958,RRC Walker,RRC Walker,75,713
1958,Vanwall,Vanwall,216,406
1958,Porsche,Porsche,8,222
1958,Centro Sud,Centro Sud,11,173
1958,Jo Bonnier,Jo Bonnier,19,77
1958,Bob Estes,Bob Estes,6,41
1959,Ferrari,Ferrari,251,21029
1959,Team Lotus,Team Lotus,34,5363
1959,BRM,BRM,93,2076
1959,Cooper,Cooper,209,1499
1959,RRC Walker,RRC Walker,123,713
1959,Centro Sud,Centro Sud,10,173
1959,BRP,BRP,19,145
1960,Ferrari,Ferrari,184,21029
