season,Ferrari,McLaren,Mercedes-Benz,Honda,Tyrrell,BAR,Brawn GP,Mercedes,Williams,Toleman,Benetton,Renault,Lotus,Alpine,Stewart,Jaguar,Red Bull Racing,Team Lotus,Brabham,Alfa Romeo (Original),Alfa Romeo (Autodelta),Sauber,Alfa Romeo,Jordan,Midland,Spyker,Force India,Racing Point,Aston Martin,Ligier,Prost,BRM,Cooper,Arrows,Footwork,Minardi,Toro Rosso,AlphaTauri,Maserati,Equipe Renault,Toyota,Matra,March,RRC Walker,Frank Williams Racing Cars,Wolf,Shadow,Vanwall,Surtees,Reg Parnell,Hesketh,Gordini,Fittipaldi,Larrousse,Haas F1 Team,Porsche,BMS Scuderia Italia,Centro Sud,BRP,Penske,Rosier,Ensign,ATS (Germany),Connaught,Leyton House,Anglo American Racers,Hill,Jo Bonnier,Osella,Fondmetal,DW Racing Enterprises,Theodore,Zakspeed,AGS,Bob Estes,Onyx,RAM,Super Aguri,Marussia,Manor Racing
1950,84.0,,,,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,307.0,,,,,,,,,,,,,,,,,,,294.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,14.0,,,,16.0,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,
1952,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,91.0,,,,,,,,,1.0,,,24.0,,,,,,,,,,,,,,,,
1953,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,244.0,,,,,,,,,,,,,67.0,,,,,,,,,12.0,,,8.0,,,,,,,,,,,,,,,,
1954,286.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,146.0,,,,,,,,,6.0,,,,39.0,,,,,,,,,43.0,,,,,,,,,,,,,,6.0,,,,,
1955,239.0,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,,,,,,,,4.0,,,,17.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
1956,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,272.0,,,,,,,,,14.0,,,,36.0,,,,,,16.0,,,22.0,,,37.0,,,,,,,,,,,15.0,,,,,
1957,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,249.0,,,,,,,,,152.0,,,,,,,,,,63.0,,,,,,12.0,,,,,,,,,,,2.0,,,,,
1958,309.0,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,105.0,129.0,,,,,,,,,,,75.0,,,,216.0,,,,,,,,8.0,,11.0,,,,,,,,,,19.0,,,,,,,6.0,,,,,
1959,251.0,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,93.0,209.0,,,,,,,,,,,123.0,,,,,,,,,,,,,,10.0,19.0,,,,,,,,,,,,,,,,,,,,,
1960,184.0,,,,,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,48.0,258.0,,,,,,,,,,,92.0,,,,,,107.0,,,,,,14.0,,17.0,,,,,,,,,,,,,,,,,12.0,,,,,
1961,290.0,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,51.0,77.0,,,,,,,,,,,66.0,,,,,,47.0,,,,,,117.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,
1962,128.0,,,,,,,,,,,,,,,,,115.0,46.0,,,,,,,,,,,,,201.0,175.0,,,,,,,,,,,10.0,,,,,,68.0,,,,,,83.0,,,28.0,,,,,,,,,,,,,,,,,,,,,
1963,100.0,,,,,,,,,,,,,,,,,229.0,129.0,,,,,,,,,,,,,225.0,110.0,,,,,,,,,,,52.0,,,,,,27.0,,,,,,,,13.0,57.0,,,,,,,,,,,,,,,,,,,,,
1964,212.0,,,,,,,,,,,,,,,,,192.0,104.0,,,,,,,,,,,,,222.0,78.0,,,,,,,,,,,35.0,,,,,,31.0,,,,,,,,35.0,36.0,,,,,,,,,,,,35.0,,,,,,,,,
1965,146.0,,,57.0,,,,,,,,,,,,,,206.0,157.0,,,,,,,,,,,,,263.0,70.0,,,,,,,,,,,68.0,,,,,,20.0,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,
1966,135.0,18.0,,16.0,,,,,,,,,,,,,,72.0,199.0,,,,,,,,,,,,,107.0,157.0,,,,,,,,,7.0,,12.0,,,,,,20.0,,,,,,,,,,,,,,,,26.0,,14.0,,,14.0,,,,,,,,,
1967,110.0,18.0,,72.0,,,,,,,,,,,,,,181.0,313.0,,,,,,,,,,,,,85.0,98.0,,,,,,,,,12.0,,31.0,,,,,,24.0,,,,,,,,,,,,,,,,40.0,,21.0,,,16.0,,,,,,,,,
1968,133.0,195.0,,47.0,,,,,,,,,,,,,,193.0,41.0,,,,,,,,,,,,,98.0,88.0,,,,,,,,,196.0,,55.0,,,,,,28.0,,,,,,,,,,,,,,,,14.0,,22.0,,,,,,,,,,,,
1969,39.0,184.0,,,,,,,,,,,,,,,,164.0,190.0,,,,,,,,,,,,,41.0,,,,,,,,,,286.0,,55.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,245.0,144.0,,,110.0,,,,,,,,,,,,,201.0,128.0,,,,,,,,,,,,,103.0,,,,,,,,,,137.0,112.0,39.0,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,156.0,56.0,,,269.0,,,,,,,,,,,,,114.0,47.0,,,,,,,,,,,,,163.0,,,,,,,,,,70.0,114.0,,24.0,,,,77.0,,,,,,,,,,,16.0,,,,,,,,1.0,,,,,,,,,,,,
1972,183.0,252.0,,,195.0,,,,,,,,,,,,,180.0,72.0,,,,,,,,,,,,,76.0,,,,,,,,,,61.0,74.0,,24.0,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,86.0,273.0,,,378.0,,,,,,,,,,,,,326.0,117.0,,,,,,,,,,,,,101.0,,,,,,,,,,,5.0,,38.0,,45.0,,61.0,,61.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1974,287.0,350.0,,,230.0,,,,,,,,,,,,,165.0,150.0,,,,,,,,,,,,,45.0,,,,,,,,,,,45.0,,26.0,,53.0,,13.0,,60.0,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
